# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleManagerBridge.load.all.modules.ms,1781083788946000000,1781083848958000000,2
jps.facet.change.listener.before.change.events.ms,1781083788946000000,1781083848958000000,0
jps.project.serializers.save.ms,1781083788946000000,1781083848958000000,0
workspaceModel.mutableEntityStorage.entities.ms,1781083788946000000,1781083848958000000,1
jps.app.storage.content.reader.load.component.ms,1781083788946000000,1781083848958000000,0
workspaceModel.moduleBridge.before.changed.ms,1781083788946000000,1781083848958000000,0
workspaceModel.save.cache.to.file.ms,1781083788946000000,1781083848958000000,78
workspaceModel.moduleManagerBridge.create.module.instance.ms,1781083788946000000,1781083848958000000,3
workspaceModel.mutableEntityStorage.replace.by.source.ms,1781083788946000000,1781083848958000000,12
jps.library.entities.serializer.load.entities.ms,1781083788946000000,1781083848958000000,2
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1781083788946000000,1781083848958000000,10
workspaceModel.mutableEntityStorage.add.entity.ms,1781083788946000000,1781083848958000000,31
workspaceModel.mutableEntityStorage.modify.entity.ms,1781083788946000000,1781083848958000000,27
jps.global.initialize.library.bridges.ms,1781083788946000000,1781083848958000000,1
workspaceModel.moduleBridge.update.option.ms,1781083788946000000,1781083848958000000,0
workspaceModel.sync.entities.ms,1781083788946000000,1781083848958000000,0
jps.modifiable.module.model.bridge.disposing.ms,1781083788946000000,1781083848958000000,0
jps.global.get.library.ms,1781083788946000000,1781083848958000000,0
jps.reload.project.entities.ms,1781083788946000000,1781083848958000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1781083788946000000,1781083848958000000,2
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1781083788946000000,1781083848958000000,1
workspaceModel.load.cache.metadata.from.file.ms,1781083788946000000,1781083848958000000,0
jps.save.global.entities.ms,1781083788946000000,1781083848958000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1781083788946000000,1781083848958000000,15
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1781083788946000000,1781083848958000000,1
workspaceModel.mutableEntityStorage.has.same.entities.ms,1781083788946000000,1781083848958000000,1
workspaceModel.moduleBridgeLoader.loading.modules.ms,1781083788946000000,1781083848958000000,31
jps.global.handle.changed.events.ms,1781083788946000000,1781083848958000000,0
jps.modifiable.module.model.bridge.renaming.ms,1781083788946000000,1781083848958000000,0
jps.load.project.to.empty.storage.ms,1781083788946000000,1781083848958000000,64
workspaceModel.load.cache.from.file.ms,1781083788946000000,1781083848958000000,0
workspaceModel.global.apply.state.to.project.ms,1781083788946000000,1781083848958000000,7
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1781083788946000000,1781083848958000000,0
jps.library.entities.serializer.save.entities.ms,1781083788946000000,1781083848958000000,0
jps.load.initial.state.ms,1781083788946000000,1781083848958000000,13
workspaceModel.moduleManagerBridge.load.module.ms,1781083788946000000,1781083848958000000,0
jps.global.get.libraries.ms,1781083788946000000,1781083848958000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1781083788946000000,1781083848958000000,1
jps.modifiable.module.model.bridge.new.module.ms,1781083788946000000,1781083848958000000,7
workspaceModel.global.updates.ms,1781083788946000000,1781083848958000000,11
compiler.ArtifactManagerBridge.commit.ms,1781083788946000000,1781083848958000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1781083788946000000,1781083848958000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1781083788946000000,1781083848958000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1781083788946000000,1781083848958000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1781083788946000000,1781083848958000000,0
