# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1781083387730000000,1781083447736000000,0
compiler.ArtifactManagerBridge.commit.ms,1781083387730000000,1781083447736000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1781083387730000000,1781083447736000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1781083387730000000,1781083447736000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1781083387730000000,1781083447736000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1781083387730000000,1781083447736000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1781083387730000000,1781083447736000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1781083387730000000,1781083447736000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1781083387730000000,1781083447736000000,0
JVM.GC.collectionTimesMs,1781083387730000000,1781083447736000000,349
JVM.threadCount,1781083387730000000,1781083447736000000,126
JVM.maxHeapBytes,1781083387730000000,1781083447736000000,7293894656
JVM.totalSafepointCount,1781083387730000000,1781083447736000000,109
JVM.maxThreadCount,1781083387730000000,1781083447736000000,170
MEM.fileMappingsRamBytes,1781083387730000000,1781083447736000000,671399936
OS.loadAverage,1781083387730000000,1781083447736000000,4.77294921875
JVM.newThreadsCount,1781083387730000000,1781083447736000000,394
JVM.totalCpuTimeMs,1781083387730000000,1781083447736000000,103440
JVM.totalDirectByteBuffersBytes,1781083387730000000,1781083447736000000,358760450
JVM.GC.collections,1781083387730000000,1781083447736000000,84
JVM.totalBytesAllocated,1781083387730000000,1781083447736000000,9652990352
JVM.usedNativeBytes,1781083387730000000,1781083447736000000,328035232
MEM.ramMinusFileMappingsBytes,1781083387730000000,1781083447736000000,2098712576
JVM.totalTimeAtSafepointsMs,1781083387730000000,1781083447736000000,407
JVM.usedHeapBytes,1781083387730000000,1781083447736000000,461901840
MEM.ramBytes,1781083387730000000,1781083447736000000,2770112512
MEM.ramPlusSwapMinusFileMappingsBytes,1781083387730000000,1781083447736000000,2098712576
JVM.committedHeapBytes,1781083387730000000,1781083447736000000,1287651328
JVM.totalTimeToSafepointsMs,1781083387730000000,1781083447736000000,56
jps.modifiable.module.model.bridge.renaming.ms,1781083387730000000,1781083447736000000,0
workspaceModel.mutableEntityStorage.entities.ms,1781083387730000000,1781083447736000000,1
jps.global.get.library.ms,1781083387730000000,1781083447736000000,0
jps.global.initialize.library.bridges.ms,1781083387730000000,1781083447736000000,0
workspaceModel.orphan.listener.update.ms,1781083387730000000,1781083447736000000,1
jps.project.serializers.save.ms,1781083387730000000,1781083447736000000,0
jps.global.initialize.library.bridges.after.loading.ms,1781083387730000000,1781083447736000000,1
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1781083387730000000,1781083447736000000,0
workspaceModel.sync.entities.ms,1781083387730000000,1781083447736000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1781083387730000000,1781083447736000000,7
workspaceModel.moduleManagerBridge.build.module.graph.ms,1781083387730000000,1781083447736000000,1
jps.modifiable.module.model.bridge.load.module.ms,1781083387730000000,1781083447736000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1781083387730000000,1781083447736000000,2
jps.library.entities.serializer.load.entities.ms,1781083387730000000,1781083447736000000,1
jps.save.global.entities.ms,1781083387730000000,1781083447736000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1781083387730000000,1781083447736000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1781083387730000000,1781083447736000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1781083387730000000,1781083447736000000,16
jps.modifiable.module.model.bridge.new.module.ms,1781083387730000000,1781083447736000000,7
jps.artifact.entities.serializer.load.entities.ms,1781083387730000000,1781083447736000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1781083387730000000,1781083447736000000,1
jps.facet.change.listener.init.bridge.ms,1781083387730000000,1781083447736000000,1
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1781083387730000000,1781083447736000000,1
workspaceModel.moduleBridgeLoader.loading.modules.ms,1781083387730000000,1781083447736000000,18
jps.library.entities.serializer.save.entities.ms,1781083387730000000,1781083447736000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1781083387730000000,1781083447736000000,0
jps.save.changed.project.entities.ms,1781083387730000000,1781083447736000000,0
jps.reload.project.entities.ms,1781083387730000000,1781083447736000000,0
workspaceModel.global.apply.state.to.project.ms,1781083387730000000,1781083447736000000,8
workspaceModel.global.updates.ms,1781083387730000000,1781083447736000000,11
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1781083387730000000,1781083447736000000,0
jps.app.storage.content.reader.load.component.ms,1781083387730000000,1781083447736000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1781083387730000000,1781083447736000000,1
jps.project.serializers.load.ms,1781083387730000000,1781083447736000000,13
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1781083387730000000,1781083447736000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1781083387730000000,1781083447736000000,0
jps.load.initial.state.ms,1781083387730000000,1781083447736000000,7
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1781083387730000000,1781083447736000000,1
jps.apply.loaded.storage.ms,1781083387730000000,1781083447736000000,45
workspaceModel.moduleBridge.facet.initialization.ms,1781083387730000000,1781083447736000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1781083387730000000,1781083447736000000,1
workspaceModel.mutableEntityStorage.collect.changes.ms,1781083387730000000,1781083447736000000,0
workspaceModel.load.cache.metadata.from.file.ms,1781083387730000000,1781083447736000000,0
jps.load.project.to.empty.storage.ms,1781083387730000000,1781083447736000000,44
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1781083387730000000,1781083447736000000,1
jps.facet.change.listener.process.change.events.ms,1781083387730000000,1781083447736000000,1
workspaceModel.mutableEntityStorage.modify.entity.ms,1781083387730000000,1781083447736000000,26
workspaceModel.mutableEntityStorage.put.entity.ms,1781083387730000000,1781083447736000000,13
workspaceModel.mutableEntityStorage.add.entity.ms,1781083387730000000,1781083447736000000,29
workspaceModel.mutableEntityStorage.resolve.ms,1781083387730000000,1781083447736000000,0
workspaceModel.save.cache.to.file.ms,1781083387730000000,1781083447736000000,82
jps.facet.change.listener.before.change.events.ms,1781083387730000000,1781083447736000000,0
jps.global.get.libraries.ms,1781083387730000000,1781083447736000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1781083387730000000,1781083447736000000,2
jps.artifact.entities.serializer.save.entities.ms,1781083387730000000,1781083447736000000,0
workspaceModel.do.save.caches.ms,1781083387730000000,1781083447736000000,82
workspaceModel.moduleManagerBridge.load.module.ms,1781083387730000000,1781083447736000000,0
workspaceModel.moduleBridge.update.option.ms,1781083387730000000,1781083447736000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1781083387730000000,1781083447736000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1781083387730000000,1781083447736000000,13
jps.global.handle.changed.events.ms,1781083387730000000,1781083447736000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1781083387730000000,1781083447736000000,0
workspaceModel.moduleBridge.before.changed.ms,1781083387730000000,1781083447736000000,0
workspaceModel.load.cache.from.file.ms,1781083387730000000,1781083447736000000,0
jps.global.get.library.by.name.ms,1781083387730000000,1781083447736000000,0
workspaceModel.global.updates.count,1781083387730000000,1781083447736000000,1
workspaceModel.mutableEntityStorage.instances.count,1781083387730000000,1781083447736000000,51
workspaceModel.moduleManagerBridge.get.modules.ms,1781083387730000000,1781083447736000000,1
jps.storage.jps.conf.reader.load.component.ms,1781083387730000000,1781083447736000000,3
jps.modifiable.module.model.bridge.disposing.ms,1781083387730000000,1781083447736000000,0
jps.global.handle.before.change.events.ms,1781083387730000000,1781083447736000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1781083387730000000,1781083447736000000,3
FilePageCache.uncachedFileAccess,1781083387730000000,1781083447736000000,1096
MappedFileStorage.totalTimeSpentOnMappingUs,1781083387730000000,1781083447736000000,72100
StreamlinedBlobStorage.recordsDeleted,1781083387730000000,1781083447736000000,3
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1781083387730000000,1781083447736000000,480028
FilePageCache.WAL.entriesFlushedOnTruncate,1781083387730000000,1781083447736000000,0
FilePageCache.pageFastCacheHits,1781083387730000000,1781083447736000000,5713856
StreamlinedBlobStorage.recordsRelocated,1781083387730000000,1781083447736000000,0
MappedFileStorage.totalBytesMapped,1781083387730000000,1781083447736000000,266600448
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1781083387730000000,1781083447736000000,0
StorageLockContext.competingThreads.90P,1781083387730000000,1781083447736000000,0
MappedFileStorage.totalPagesMapped,1781083387730000000,1781083447736000000,17
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1781083387730000000,1781083447736000000,2475809
StorageLockContext.competingThreads.max,1781083387730000000,1781083447736000000,0
FilePageCache.maxRegisteredFiles,1781083387730000000,1781083447736000000,444
MappedFileStorage.storages,1781083387730000000,1781083447736000000,17
FilePageCache.WAL.entriesFlushed,1781083387730000000,1781083447736000000,7998
DirectByteBufferAllocator.hits,1781083387730000000,1781083447736000000,3
FilePageCache.WAL.entriesFlushedOnForce,1781083387730000000,1781083447736000000,0
FilePageCache.totalBytesStored,1781083387730000000,1781083447736000000,44955104
FilePageCache.WAL.flushesForcedByOverflow,1781083387730000000,1781083447736000000,0
FilePageCache.disposedBuffers,1781083387730000000,1781083447736000000,3
FilePageCache.totalPageDisposalsUs,1781083387730000000,1781083447736000000,962
FilePageCache.pageHits,1781083387730000000,1781083447736000000,490316
FilePageCache.WAL.bytesQueued,1781083387730000000,1781083447736000000,78936344
StorageLockContext.competingThreads.avg,1781083387730000000,1781083447736000000,0.0
StreamlinedBlobStorage.recordsAllocated,1781083387730000000,1781083447736000000,34712
FilePageCache.WAL.entriesFlushedOnClose,1781083387730000000,1781083447736000000,0
DirectByteBufferAllocator.reclaimed,1781083387730000000,1781083447736000000,3
FilePageCache.pageLoads,1781083387730000000,1781083447736000000,340
FileChannelInterruptsRetryer.totalRetriedAttempts,1781083387730000000,1781083447736000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1781083387730000000,1781083447736000000,0
DirectByteBufferAllocator.misses,1781083387730000000,1781083447736000000,337
FilePageCache.WAL.bytesCopiedByApplyUnfinished,1781083387730000000,1781083447736000000,0
FilePageCache.capacityInBytes,1781083387730000000,1781083447736000000,629145600
FilePageCache.totalPageLoadsUs,1781083387730000000,1781083447736000000,114921
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1781083387730000000,1781083447736000000,353370112
FilePageCache.WAL.entriesFlushedOnRead,1781083387730000000,1781083447736000000,12
DirectByteBufferAllocator.disposed,1781083387730000000,1781083447736000000,0
FilePageCache.maxCacheSizeInBytes,1781083387730000000,1781083447736000000,353370112
FilePageCache.totalPageStoresUs,1781083387730000000,1781083447736000000,19984
FlushQueue.executionTimeMaxNs,1781083387730000000,1781083447736000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1781083387730000000,1781083447736000000,247112
FlushQueue.waitingTimeAvgNs,1781083387730000000,1781083447736000000,0.0
NonBlockingReadAction.failedExecutionTimeUs,1781083387730000000,1781083447736000000,0
NonBlockingReadAction.failedExecutionsCount,1781083387730000000,1781083447736000000,0
FlushQueue.waitingTime90PNs,1781083387730000000,1781083447736000000,0
AWTEventQueue.eventsDispatched,1781083387730000000,1781083447736000000,0
AWTEventQueue.dispatchTimeAvgNs,1781083387730000000,1781083447736000000,0.0
FlushQueue.queueSize90P,1781083387730000000,1781083447736000000,0
FlushQueue.waitingTimeMaxNs,1781083387730000000,1781083447736000000,0
FlushQueue.executionTime90PNs,1781083387730000000,1781083447736000000,0
NonBlockingReadAction.finalizedExecutionsCount,1781083387730000000,1781083447736000000,49
ReadAction.executionsCount,1781083387730000000,1781083447736000000,269380
FlushQueue.queueSizeMax,1781083387730000000,1781083447736000000,0
WriteAction.executionsCount,1781083387730000000,1781083447736000000,26
AWTEventQueue.dispatchTimeMaxNs,1781083387730000000,1781083447736000000,0
FlushQueue.executionTimeAvgNs,1781083387730000000,1781083447736000000,0.0
AWTEventQueue.dispatchTimeTotalNS,1781083387730000000,1781083447736000000,861408565
FlushQueue.tasksExecuted,1781083387730000000,1781083447736000000,0
AWTEventQueue.dispatchTime90PNs,1781083387730000000,1781083447736000000,0
FlushQueue.queueSizeAvg,1781083387730000000,1781083447736000000,0.0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1781083387730000000,1781083447736000000,501
workspaceModel.cachedValueWithParameters.clear.count,1781083387730000000,1781083447736000000,0
workspaceModel.pre.handlers.ms,1781083387730000000,1781083447736000000,0
workspaceModel.workspaceFileIndexData.init.ms,1781083387730000000,1781083447736000000,0
workspaceModel.non.incremental.contributors.exclude.roots.computation.time.ms,1781083387730000000,1781083447736000000,0
workspaceModel.cachedValue.calculated.count,1781083387730000000,1781083447736000000,33
workspaceModel.to.snapshot.ms,1781083387730000000,1781083447736000000,0
workspaceModel.full.replace.project.model.ms,1781083387730000000,1781083447736000000,42
workspaceModel.workspaceFileIndexData.processFileSets.ms,1781083387730000000,1781083447736000000,0
workspaceModel.update.unloaded.entities.ms,1781083387730000000,1781083447736000000,0
workspaceModel.cachedValue.clear.count,1781083387730000000,1781083447736000000,2
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1781083387730000000,1781083447736000000,22
workspaceModel.loading.from.cache.ms,1781083387730000000,1781083447736000000,11
workspaceModel.initializing.ms,1781083387730000000,1781083447736000000,7
workspaceModel.non.incremental.contributors.file.sets.computation.time.ms,1781083387730000000,1781083447736000000,0
workspaceModel.init.bridges.ms,1781083387730000000,1781083447736000000,10
workspaceModel.cachedValue.from.cache.count,1781083387730000000,1781083447736000000,190
workspaceModel.workspaceFileIndexData.getPackageName.ms,1781083387730000000,1781083447736000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1781083387730000000,1781083447736000000,8
workspaceModel.updates.precise.ms,1781083387730000000,1781083447736000000,4
workspaceModel.replace.project.model.ms,1781083387730000000,1781083447736000000,34
workspaceModel.cachedValueWithParameters.total.get.count,1781083387730000000,1781083447736000000,0
workspaceModel.check.recursive.update.ms,1781083387730000000,1781083447736000000,0
